TimeNumber,TempOutside,QuantMilk,Car,SizeBagBig,SizeBagSmall,TempRise
0.089849537,25,20,1,1,0,2.15
0.091342593,25,20,1,1,0,2.15
0.092881944,25,20,1,1,0,2.15
0.093240741,25,20,1,1,0,2.17
0.093344907,25,20,1,1,0,2.17
0.095578704,25,20,1,1,0,2.17
0.096724537,25,20,1,1,0,2.21
0.096979167,25,20,1,1,0,2.21
0.098530093,25,20,1,1,0,2.21
0.100069444,25,20,1,1,0,2.21
0.100196759,25,20,1,1,0,2.24
0.101701389,25,20,1,1,0,2.24
0.103275463,25,20,1,1,0,2.24
0.103668981,25,20,1,1,0,2.27
0.105914352,25,20,1,1,0,2.27
0.107152778,25,20,1,1,0,2.31
0.107291667,25,20,1,1,0,2.31
0.108900463,25,20,1,1,0,2.31
0.110416667,25,20,1,1,0,2.31
0.110636574,25,20,1,1,0,2.35
0.110740741,25,20,1,1,0,2.35
0.112233796,25,20,1,1,0,2.35
0.113726852,25,20,1,1,0,2.35
0.11412037,25,20,1,1,0,2.43
0.114212963,25,20,1,1,0,2.43
0.115752315,25,20,1,1,0,2.43
0.117326389,25,20,1,1,0,2.43
0.117604167,25,20,1,1,0,2.44
0.117731481,25,20,1,1,0,2.44
0.119247685,25,20,1,1,0,2.44
0.120787037,25,20,1,1,0,2.44
0.121087963,25,20,1,1,0,2.49
0.121226852,25,20,1,1,0,2.49
0.122777778,25,20,1,1,0,2.49
0.124328704,25,20,1,1,0,2.49
0.124571759,25,20,1,1,0,2.55
0.124675926,25,20,1,1,0,2.55
0.126238426,25,20,1,1,0,2.55
0.127743056,25,20,1,1,0,2.55
0.128055556,25,20,1,1,0,2.6
0.128136574,25,20,1,1,0,2.6
0.129664352,25,20,1,1,0,2.6
0.131180556,25,20,1,1,0,2.6
0.131539352,25,20,1,1,0,2.51
0.13162037,25,20,1,1,0,2.51
0.133854167,25,20,1,1,0,2.51
0.135023148,25,20,1,1,0,2.79
0.135150463,25,20,1,1,0,2.79
0.136689815,25,20,1,1,0,2.79
0.138252315,25,20,1,1,0,2.79
0.13849537,25,20,1,1,0,3.09
0.139780093,25,20,1,1,0,3.09
0.141365741,25,20,1,1,0,3.09
0.141979167,25,20,1,1,0,3.28
0.142106481,25,20,1,1,0,3.28
0.143831019,25,20,1,1,0,3.28
0.145451389,25,20,1,1,0,3.46
0.147662037,25,20,1,1,0,3.46
0.148935185,25,20,1,1,0,3.6
0.149039352,25,20,1,1,0,3.6
0.150555556,25,20,1,1,0,3.6
0.152071759,25,20,1,1,0,3.6
0.152418981,25,20,1,1,0,3.74
0.152488426,25,20,1,1,0,3.74
0.154733796,25,20,1,1,0,3.74
0.155902778,25,20,1,1,0,3.86
